,Seq-1
Idx-3220,56
Idx-3221,58
Idx-3222,54
Idx-3223,21
Idx-3224,35
Idx-3225,19
Idx-3226,12
Idx-3227,45
Idx-3228,6
Idx-3229,68
Idx-3230,57
Idx-3231,44
Idx-3232,53
Idx-3233,24
Idx-3234,63
Idx-3235,50
Idx-3236,70
Idx-3237,39
Idx-3238,16
Idx-3239,48
Idx-3240,73
Idx-3241,32
Idx-3242,64
Idx-3243,77
Idx-3244,60
Idx-3245,22
Idx-3246,72
Idx-3247,59
Idx-3248,76
Idx-3249,55
Idx-3250,36
Idx-3251,78
Idx-3252,8
Idx-3253,11
Idx-3254,31
Idx-3255,52
Idx-3256,37
Idx-3257,41
Idx-3258,27
Idx-3259,26
Idx-3260,38
Idx-3261,3
Idx-3262,69
Idx-3263,33
Idx-3264,2
Idx-3265,66
Idx-3266,20
Idx-3267,14
Idx-3268,75
Idx-3269,67
Idx-3270,46
Idx-3271,51
Idx-3272,7
Idx-3273,25
Idx-3274,74
Idx-3275,42
Idx-3276,28
Idx-3277,17
Idx-3278,30
Idx-3279,61
Idx-3280,4
Idx-3281,71
Idx-3282,65
Idx-3283,13
Idx-3284,34
Idx-3285,15
Idx-3286,62
Idx-3287,47
Idx-3288,49
Idx-3289,23
Idx-3290,1
Idx-3291,43
Idx-3292,10
Idx-3293,9
Idx-3294,29
Idx-3295,5
Idx-3296,18
Idx-3297,40
Idx-3298,56
Idx-3299,58
Idx-3300,54
Idx-3301,21
Idx-3302,35
Idx-3303,19
Idx-3304,12
Idx-3305,45
Idx-3306,6
Idx-3307,68
Idx-3308,57
Idx-3309,44
Idx-3310,53
Idx-3311,24
Idx-3312,63
Idx-3313,50
Idx-3314,70
Idx-3315,39
Idx-3316,16
Idx-3317,48
Idx-3318,73
Idx-3319,32
Idx-3320,64
Idx-3321,77
Idx-3322,60
Idx-3323,22
Idx-3324,72
Idx-3325,59
Idx-3326,76
Idx-3327,55
Idx-3328,36
Idx-3329,78
Idx-3330,8
Idx-3331,11
Idx-3332,31
Idx-3333,52
Idx-3334,37
Idx-3335,41
Idx-3336,27
Idx-3337,26
Idx-3338,38
Idx-3339,3
Idx-3340,69
Idx-3341,33
Idx-3342,2
Idx-3343,66
Idx-3344,20
Idx-3345,14
Idx-3346,75
Idx-3347,67
Idx-3348,46
Idx-3349,51
Idx-3350,7
Idx-3351,25
Idx-3352,74
Idx-3353,42
Idx-3354,28
Idx-3355,17
Idx-3356,30
Idx-3357,61
Idx-3358,4
Idx-3359,71
Idx-3360,65
Idx-3361,13
Idx-3362,34
Idx-3363,15
Idx-3364,62
Idx-3365,47
Idx-3366,49
Idx-3367,23
Idx-3368,1
Idx-3369,43
Idx-3370,10
Idx-3371,9
Idx-3372,29
Idx-3373,5
Idx-3374,18
Idx-3375,40
Idx-3376,56
Idx-3377,58
Idx-3378,54
Idx-3379,21
Idx-3380,35
Idx-3381,19
Idx-3382,12
Idx-3383,45
Idx-3384,6
Idx-3385,68
Idx-3386,57
Idx-3387,44
Idx-3388,53
Idx-3389,24
Idx-3390,63
Idx-3391,50
Idx-3392,70
Idx-3393,39
Idx-3394,16
Idx-3395,48
Idx-3396,73
Idx-3397,32
Idx-3398,64
Idx-3399,77
Idx-3400,60
Idx-3401,22
Idx-3402,72
Idx-3403,59
Idx-3404,76
Idx-3405,55
Idx-3406,36
Idx-3407,78
Idx-3408,8
Idx-3409,11
Idx-3410,31
Idx-3411,52
Idx-3412,37
Idx-3413,41
Idx-3414,27
Idx-3415,26
Idx-3416,38
Idx-3417,3
Idx-3418,69
Idx-3419,33
Idx-3420,2
Idx-3421,66
Idx-3422,20
Idx-3423,14
Idx-3424,75
Idx-3425,67
Idx-3426,46
Idx-3427,51
Idx-3428,7
Idx-3429,25
Idx-3430,74
Idx-3431,42
Idx-3432,28
Idx-3433,17
Idx-3434,30
Idx-3435,61
Idx-3436,4
Idx-3437,71
Idx-3438,65
Idx-3439,13
Idx-3440,34
Idx-3441,15
Idx-3442,62
Idx-3443,47
Idx-3444,49
Idx-3445,23
Idx-3446,1
Idx-3447,43
Idx-3448,10
Idx-3449,9
Idx-3450,29
Idx-3451,5
Idx-3452,18
Idx-3453,40
Idx-3454,56
Idx-3455,58
Idx-3456,54
Idx-3457,21
Idx-3458,35
Idx-3459,19
Idx-3460,12
Idx-3461,45
Idx-3462,6
Idx-3463,68
Idx-3464,57
Idx-3465,44
Idx-3466,53
Idx-3467,24
Idx-3468,63
Idx-3469,50
Idx-3470,70
Idx-3471,39
Idx-3472,16
Idx-3473,48
Idx-3474,73
Idx-3475,32
Idx-3476,64
Idx-3477,77
Idx-3478,60
Idx-3479,22
Idx-3480,72
Idx-3481,59
Idx-3482,76
Idx-3483,55
Idx-3484,36
Idx-3485,78
Idx-3486,8
Idx-3487,11
Idx-3488,31
Idx-3489,52
Idx-3490,37
Idx-3491,41
Idx-3492,27
Idx-3493,26
Idx-3494,38
Idx-3495,3
Idx-3496,69
Idx-3497,33
Idx-3498,2
Idx-3499,66
Idx-3500,20
Idx-3501,14
Idx-3502,75
Idx-3503,67
Idx-3504,46
Idx-3505,51
Idx-3506,7
Idx-3507,25
Idx-3508,74
Idx-3509,42
Idx-3510,28
Idx-3511,17
Idx-3512,30
Idx-3513,61
Idx-3514,4
Idx-3515,71
Idx-3516,65
Idx-3517,13
Idx-3518,34
Idx-3519,15
Idx-3520,62
Idx-3521,47
Idx-3522,49
Idx-3523,23
Idx-3524,1
Idx-3525,43
Idx-3526,10
Idx-3527,9
Idx-3528,29
Idx-3529,5
Idx-3530,18
Idx-3531,40
Idx-3532,56
Idx-3533,58
Idx-3534,54
Idx-3535,21
Idx-3536,35
Idx-3537,19
Idx-3538,12
Idx-3539,45
Idx-3540,6
Idx-3541,68
Idx-3542,57
Idx-3543,44
Idx-3544,53
Idx-3545,24
Idx-3546,63
Idx-3547,50
Idx-3548,70
Idx-3549,39
Idx-3550,16
Idx-3551,48
Idx-3552,73
Idx-3553,32
Idx-3554,64
Idx-3555,77
Idx-3556,60
Idx-3557,22
Idx-3558,72
Idx-3559,59
Idx-3560,76
Idx-3561,55
Idx-3562,36
Idx-3563,78
Idx-3564,8
Idx-3565,11
Idx-3566,31
Idx-3567,52
Idx-3568,37
Idx-3569,41
Idx-3570,27
Idx-3571,26
Idx-3572,38
Idx-3573,3
Idx-3574,69
Idx-3575,33
Idx-3576,2
Idx-3577,66
Idx-3578,20
Idx-3579,14
Idx-3580,75
Idx-3581,67
Idx-3582,46
Idx-3583,51
Idx-3584,7
Idx-3585,25
Idx-3586,74
Idx-3587,42
Idx-3588,28
Idx-3589,17
Idx-3590,30
Idx-3591,61
Idx-3592,4
Idx-3593,71
Idx-3594,65
Idx-3595,13
Idx-3596,34
Idx-3597,15
Idx-3598,62
Idx-3599,47
Idx-3600,49
Idx-3601,23
Idx-3602,1
Idx-3603,43
Idx-3604,10
Idx-3605,9
Idx-3606,29
Idx-3607,5
Idx-3608,18
Idx-3609,40
Idx-3610,56
Idx-3611,58
Idx-3612,54
Idx-3613,21
Idx-3614,35
Idx-3615,19
Idx-3616,12
Idx-3617,45
Idx-3618,6
Idx-3619,68
Idx-3620,57
Idx-3621,44
Idx-3622,53
Idx-3623,24
Idx-3624,63
Idx-3625,50
Idx-3626,70
Idx-3627,39
Idx-3628,16
Idx-3629,48
Idx-3630,73
Idx-3631,32
Idx-3632,64
Idx-3633,77
Idx-3634,60
Idx-3635,22
Idx-3636,72
Idx-3637,59
Idx-3638,76
Idx-3639,55
Idx-3640,36
Idx-3641,78
Idx-3642,8
Idx-3643,11
Idx-3644,31
Idx-3645,52
Idx-3646,37
Idx-3647,41
Idx-3648,27
Idx-3649,26
Idx-3650,38
Idx-3651,3
Idx-3652,69
Idx-3653,33
Idx-3654,2
Idx-3655,66
Idx-3656,20
Idx-3657,14
Idx-3658,75
Idx-3659,67
Idx-3660,46
Idx-3661,51
Idx-3662,7
Idx-3663,25
Idx-3664,74
Idx-3665,42
Idx-3666,28
Idx-3667,17
Idx-3668,30
Idx-3669,61
Idx-3670,4
Idx-3671,71
Idx-3672,65
Idx-3673,13
Idx-3674,34
Idx-3675,15
Idx-3676,62
Idx-3677,47
Idx-3678,49
Idx-3679,23
Idx-3680,1
Idx-3681,43
Idx-3682,10
Idx-3683,9
Idx-3684,29
Idx-3685,5
Idx-3686,18
Idx-3687,40
Idx-3688,56
Idx-3689,58
Idx-3690,54
Idx-3691,21
Idx-3692,35
Idx-3693,19
Idx-3694,12
Idx-3695,45
Idx-3696,6
Idx-3697,68
Idx-3698,57
Idx-3699,44
Idx-3700,53
Idx-3701,24
Idx-3702,63
Idx-3703,50
Idx-3704,70
Idx-3705,39
Idx-3706,16
Idx-3707,48
Idx-3708,73
Idx-3709,32
Idx-3710,64
Idx-3711,77
Idx-3712,60
Idx-3713,22
Idx-3714,72
Idx-3715,59
Idx-3716,76
Idx-3717,55
Idx-3718,36
Idx-3719,78
Idx-3720,8
Idx-3721,11
Idx-3722,31
Idx-3723,52
Idx-3724,37
Idx-3725,41
Idx-3726,27
Idx-3727,26
Idx-3728,38
Idx-3729,3
Idx-3730,69
Idx-3731,33
Idx-3732,2
Idx-3733,66
Idx-3734,20
Idx-3735,14
Idx-3736,75
Idx-3737,67
Idx-3738,46
Idx-3739,51
Idx-3740,7
Idx-3741,25
Idx-3742,74
Idx-3743,42
Idx-3744,28
Idx-3745,17
Idx-3746,30
Idx-3747,61
Idx-3748,4
Idx-3749,71
Idx-3750,65
Idx-3751,13
Idx-3752,34
Idx-3753,15
Idx-3754,62
Idx-3755,47
Idx-3756,49
Idx-3757,23
Idx-3758,1
Idx-3759,43
Idx-3760,10
Idx-3761,9
Idx-3762,29
Idx-3763,5
Idx-3764,18
Idx-3765,40
Idx-3766,56
Idx-3767,58
Idx-3768,54
Idx-3769,21
Idx-3770,35
Idx-3771,19
Idx-3772,12
Idx-3773,45
Idx-3774,6
Idx-3775,68
Idx-3776,57
Idx-3777,44
Idx-3778,53
Idx-3779,24
Idx-3780,63
Idx-3781,50
Idx-3782,70
Idx-3783,39
Idx-3784,16
Idx-3785,48
Idx-3786,73
Idx-3787,32
Idx-3788,64
Idx-3789,77
Idx-3790,60
Idx-3791,22
Idx-3792,72
Idx-3793,59
Idx-3794,76
Idx-3795,55
Idx-3796,36
Idx-3797,78
Idx-3798,8
Idx-3799,11
Idx-3800,31
Idx-3801,52
Idx-3802,37
Idx-3803,41
Idx-3804,27
Idx-3805,26
Idx-3806,38
Idx-3807,3
Idx-3808,69
Idx-3809,33
Idx-3810,2
Idx-3811,66
Idx-3812,20
Idx-3813,14
Idx-3814,75
Idx-3815,67
Idx-3816,46
Idx-3817,51
Idx-3818,7
Idx-3819,25
Idx-3820,74
Idx-3821,42
Idx-3822,28
Idx-3823,17
Idx-3824,30
Idx-3825,61
Idx-3826,4
Idx-3827,71
Idx-3828,65
Idx-3829,13
Idx-3830,34
Idx-3831,15
Idx-3832,62
Idx-3833,47
Idx-3834,49
Idx-3835,23
Idx-3836,1
Idx-3837,43
Idx-3838,10
Idx-3839,9
Idx-3840,29
Idx-3841,5
Idx-3842,18
Idx-3843,40
Idx-3844,56
Idx-3845,58
Idx-3846,54
Idx-3847,21
Idx-3848,35
Idx-3849,19
Idx-3850,12
Idx-3851,45
Idx-3852,6
Idx-3853,68
Idx-3854,57
Idx-3855,44
Idx-3856,53
Idx-3857,24
Idx-3858,63
Idx-3859,50
Idx-3860,70
Idx-3861,39
Idx-3862,16
Idx-3863,48
Idx-3864,73
Idx-3865,32
Idx-3866,64
Idx-3867,77
Idx-3868,60
Idx-3869,22
Idx-3870,72
Idx-3871,59
Idx-3872,76
Idx-3873,55
Idx-3874,36
Idx-3875,78
Idx-3876,8
Idx-3877,11
Idx-3878,31
Idx-3879,52
Idx-3880,37
Idx-3881,41
Idx-3882,27
Idx-3883,26
Idx-3884,38
Idx-3885,3
Idx-3886,69
Idx-3887,33
Idx-3888,2
Idx-3889,66
Idx-3890,20
Idx-3891,14
Idx-3892,75
Idx-3893,67
Idx-3894,46
Idx-3895,51
Idx-3896,7
Idx-3897,25
Idx-3898,74
Idx-3899,42
Idx-3900,28
Idx-3901,17
Idx-3902,30
Idx-3903,61
Idx-3904,4
Idx-3905,71
Idx-3906,65
Idx-3907,13
Idx-3908,34
Idx-3909,15
Idx-3910,62
Idx-3911,47
Idx-3912,49
Idx-3913,23
Idx-3914,1
Idx-3915,43
Idx-3916,10
Idx-3917,9
Idx-3918,29
Idx-3919,5
Idx-3920,18
Idx-3921,40
Idx-3922,56
Idx-3923,58
Idx-3924,54
Idx-3925,21
Idx-3926,35
Idx-3927,19
Idx-3928,12
Idx-3929,45
Idx-3930,6
Idx-3931,68
Idx-3932,57
Idx-3933,44
Idx-3934,53
Idx-3935,24
Idx-3936,63
Idx-3937,50
Idx-3938,70
Idx-3939,39
Idx-3940,16
Idx-3941,48
Idx-3942,73
Idx-3943,32
Idx-3944,64
Idx-3945,77
Idx-3946,60
Idx-3947,22
Idx-3948,72
Idx-3949,59
Idx-3950,76
Idx-3951,55
Idx-3952,36
Idx-3953,78
Idx-3954,8
Idx-3955,11
Idx-3956,31
Idx-3957,52
Idx-3958,37
Idx-3959,41
Idx-3960,27
Idx-3961,26
Idx-3962,38
Idx-3963,3
Idx-3964,69
Idx-3965,33
Idx-3966,2
Idx-3967,66
Idx-3968,20
Idx-3969,14
Idx-3970,75
Idx-3971,67
Idx-3972,46
Idx-3973,51
Idx-3974,7
Idx-3975,25
Idx-3976,74
Idx-3977,42
Idx-3978,28
Idx-3979,17
Idx-3980,30
Idx-3981,61
Idx-3982,4
Idx-3983,71
Idx-3984,65
Idx-3985,13
Idx-3986,34
Idx-3987,15
Idx-3988,62
Idx-3989,47
Idx-3990,49
Idx-3991,23
Idx-3992,1
Idx-3993,43
Idx-3994,10
Idx-3995,9
Idx-3996,29
Idx-3997,5
Idx-3998,18
Idx-3999,40
Idx-4000,56
Idx-4001,58
Idx-4002,54
Idx-4003,21
Idx-4004,35
Idx-4005,19
Idx-4006,12
Idx-4007,45
Idx-4008,6
Idx-4009,68
Idx-4010,57
Idx-4011,44
Idx-4012,53
Idx-4013,24
Idx-4014,63
Idx-4015,50
Idx-4016,70
Idx-4017,39
Idx-4018,16
Idx-4019,48
Idx-4020,73
Idx-4021,32
Idx-4022,64
Idx-4023,77
Idx-4024,60
Idx-4025,22
Idx-4026,72
Idx-4027,59
Idx-4028,76
Idx-4029,55
Idx-4030,36
Idx-4031,78
Idx-4032,8
Idx-4033,11
Idx-4034,31
Idx-4035,52
Idx-4036,37
Idx-4037,41
Idx-4038,27
Idx-4039,26
Idx-4040,38
Idx-4041,3
Idx-4042,69
Idx-4043,33
Idx-4044,2
Idx-4045,66
Idx-4046,20
Idx-4047,14
Idx-4048,75
Idx-4049,67
Idx-4050,46
Idx-4051,51
Idx-4052,7
Idx-4053,25
Idx-4054,74
Idx-4055,42
Idx-4056,28
Idx-4057,17
Idx-4058,30
Idx-4059,61
Idx-4060,4
Idx-4061,71
Idx-4062,65
Idx-4063,13
Idx-4064,34
Idx-4065,15
Idx-4066,62
Idx-4067,47
Idx-4068,49
Idx-4069,23
Idx-4070,1
Idx-4071,43
Idx-4072,10
Idx-4073,9
Idx-4074,29
Idx-4075,5
Idx-4076,18
Idx-4077,40
Idx-4078,56
Idx-4079,58
Idx-4080,54
Idx-4081,21
Idx-4082,35
Idx-4083,19
Idx-4084,12
Idx-4085,45
Idx-4086,6
Idx-4087,68
Idx-4088,57
Idx-4089,44
Idx-4090,53
Idx-4091,24
Idx-4092,63
Idx-4093,50
Idx-4094,70
Idx-4095,39
Idx-4096,16
Idx-4097,48
Idx-4098,73
Idx-4099,32
Idx-4100,64
Idx-4101,77
Idx-4102,60
Idx-4103,22
Idx-4104,72
Idx-4105,59
Idx-4106,76
Idx-4107,55
Idx-4108,36
Idx-4109,78
Idx-4110,8
Idx-4111,11
Idx-4112,31
Idx-4113,52
Idx-4114,37
Idx-4115,41
Idx-4116,27
Idx-4117,26
Idx-4118,38
Idx-4119,3
Idx-4120,69
Idx-4121,33
Idx-4122,2
Idx-4123,66
Idx-4124,20
Idx-4125,14
Idx-4126,75
Idx-4127,67
Idx-4128,46
Idx-4129,51
Idx-4130,7
Idx-4131,25
Idx-4132,74
Idx-4133,42
Idx-4134,28
Idx-4135,17
Idx-4136,30
Idx-4137,61
Idx-4138,4
Idx-4139,71
Idx-4140,65
Idx-4141,13
Idx-4142,34
Idx-4143,15
Idx-4144,62
Idx-4145,47
Idx-4146,49
Idx-4147,23
Idx-4148,1
Idx-4149,43
Idx-4150,10
Idx-4151,9
Idx-4152,29
Idx-4153,5
Idx-4154,18
Idx-4155,40
Idx-4156,56
Idx-4157,58
Idx-4158,54
Idx-4159,21
Idx-4160,35
Idx-4161,19
Idx-4162,12
Idx-4163,45
Idx-4164,6
Idx-4165,68
Idx-4166,57
Idx-4167,44
Idx-4168,53
Idx-4169,24
Idx-4170,63
Idx-4171,50
Idx-4172,70
Idx-4173,39
Idx-4174,16
Idx-4175,48
Idx-4176,73
Idx-4177,32
Idx-4178,64
Idx-4179,77
Idx-4180,60
Idx-4181,22
Idx-4182,72
Idx-4183,59
Idx-4184,76
Idx-4185,55
Idx-4186,36
Idx-4187,78
Idx-4188,8
Idx-4189,11
Idx-4190,31
Idx-4191,52
Idx-4192,37
Idx-4193,41
Idx-4194,27
Idx-4195,26
Idx-4196,38
Idx-4197,3
Idx-4198,69
Idx-4199,33
Idx-4200,2
Idx-4201,66
Idx-4202,20
Idx-4203,14
Idx-4204,75
Idx-4205,67
Idx-4206,46
Idx-4207,51
Idx-4208,7
Idx-4209,25
Idx-4210,74
Idx-4211,42
Idx-4212,28
Idx-4213,17
Idx-4214,30
Idx-4215,61
Idx-4216,4
Idx-4217,71
Idx-4218,65
Idx-4219,13
Idx-4220,34
Idx-4221,15
Idx-4222,62
Idx-4223,47
Idx-4224,49
Idx-4225,23
Idx-4226,1
Idx-4227,43
Idx-4228,10
Idx-4229,9
Idx-4230,29
Idx-4231,5
Idx-4232,18
Idx-4233,40
Idx-4234,56
Idx-4235,58
Idx-4236,54
Idx-4237,21
Idx-4238,35
Idx-4239,19
Idx-4240,12
Idx-4241,45
Idx-4242,6
Idx-4243,68
Idx-4244,57
Idx-4245,44
Idx-4246,53
Idx-4247,24
Idx-4248,63
Idx-4249,50
Idx-4250,70
Idx-4251,39
Idx-4252,16
Idx-4253,48
Idx-4254,73
Idx-4255,32
Idx-4256,64
Idx-4257,77
Idx-4258,60
Idx-4259,22
Idx-4260,72
Idx-4261,59
Idx-4262,76
Idx-4263,55
Idx-4264,36
Idx-4265,78
Idx-4266,8
Idx-4267,11
Idx-4268,31
Idx-4269,52
Idx-4270,37
Idx-4271,41
Idx-4272,27
Idx-4273,26
Idx-4274,38
Idx-4275,3
Idx-4276,69
Idx-4277,33
Idx-4278,2
Idx-4279,66
Idx-4280,20
Idx-4281,14
Idx-4282,75
Idx-4283,67
Idx-4284,46
Idx-4285,51
Idx-4286,7
Idx-4287,25
Idx-4288,74
Idx-4289,42
Idx-4290,28
Idx-4291,17
Idx-4292,30
Idx-4293,61
Idx-4294,4
Idx-4295,71
Idx-4296,65
Idx-4297,13
Idx-4298,34
Idx-4299,15
Idx-4300,62
Idx-4301,47
Idx-4302,49
Idx-4303,23
Idx-4304,1
Idx-4305,43
Idx-4306,10
Idx-4307,9
Idx-4308,29
Idx-4309,5
Idx-4310,18
Idx-4311,40
Idx-4312,56
Idx-4313,58
Idx-4314,54
Idx-4315,21
Idx-4316,35
Idx-4317,19
Idx-4318,12
Idx-4319,45
Idx-4320,6
Idx-4321,68
Idx-4322,57
Idx-4323,44
Idx-4324,53
Idx-4325,24
Idx-4326,63
Idx-4327,50
Idx-4328,70
Idx-4329,39
Idx-4330,16
Idx-4331,48
Idx-4332,73
Idx-4333,32
Idx-4334,64
Idx-4335,77
Idx-4336,60
Idx-4337,22
Idx-4338,72
Idx-4339,59
Idx-4340,76
Idx-4341,55
Idx-4342,36
Idx-4343,78
Idx-4344,8
Idx-4345,11
Idx-4346,31
Idx-4347,52
Idx-4348,37
Idx-4349,41
Idx-4350,27
Idx-4351,26
Idx-4352,38
Idx-4353,3
Idx-4354,69
Idx-4355,33
Idx-4356,2
Idx-4357,66
Idx-4358,20
Idx-4359,14
Idx-4360,75
Idx-4361,67
Idx-4362,46
Idx-4363,51
Idx-4364,7
Idx-4365,25
Idx-4366,74
Idx-4367,42
Idx-4368,28
Idx-4369,17
Idx-4370,30
Idx-4371,61
Idx-4372,4
Idx-4373,71
Idx-4374,65
Idx-4375,13
Idx-4376,34
Idx-4377,15
Idx-4378,62
Idx-4379,47
Idx-4380,49
Idx-4381,23
Idx-4382,1
Idx-4383,43
Idx-4384,10
Idx-4385,9
Idx-4386,29
Idx-4387,5
Idx-4388,18
Idx-4389,40
Idx-4390,56
Idx-4391,58
Idx-4392,54
Idx-4393,21
Idx-4394,35
Idx-4395,19
Idx-4396,12
Idx-4397,45
Idx-4398,6
Idx-4399,68
Idx-4400,57
Idx-4401,44
Idx-4402,53
Idx-4403,24
Idx-4404,63
Idx-4405,50
Idx-4406,70
Idx-4407,39
Idx-4408,16
Idx-4409,48
Idx-4410,73
Idx-4411,32
Idx-4412,64
Idx-4413,77
Idx-4414,60
Idx-4415,22
Idx-4416,72
Idx-4417,59
Idx-4418,76
Idx-4419,55
Idx-4420,36
Idx-4421,78
Idx-4422,8
Idx-4423,11
Idx-4424,31
Idx-4425,52
Idx-4426,37
Idx-4427,41
Idx-4428,27
Idx-4429,26
Idx-4430,38
Idx-4431,3
Idx-4432,69
Idx-4433,33
Idx-4434,2
Idx-4435,66
Idx-4436,20
Idx-4437,14
Idx-4438,75
Idx-4439,67
Idx-4440,46
Idx-4441,51
Idx-4442,7
Idx-4443,25
Idx-4444,74
Idx-4445,42
Idx-4446,28
Idx-4447,17
Idx-4448,30
Idx-4449,61
Idx-4450,4
Idx-4451,71
Idx-4452,65
Idx-4453,13
Idx-4454,34
Idx-4455,15
Idx-4456,62
Idx-4457,47
Idx-4458,49
Idx-4459,23
Idx-4460,1
Idx-4461,43
Idx-4462,10
Idx-4463,9
Idx-4464,29
Idx-4465,5
Idx-4466,18
Idx-4467,40
Idx-4468,56
Idx-4469,58
Idx-4470,54
Idx-4471,21
Idx-4472,35
Idx-4473,19
Idx-4474,12
Idx-4475,45
Idx-4476,6
Idx-4477,68
Idx-4478,57
Idx-4479,44
Idx-4480,53
Idx-4481,24
Idx-4482,63
Idx-4483,50
Idx-4484,70
Idx-4485,39
Idx-4486,16
Idx-4487,48
Idx-4488,73
Idx-4489,32
Idx-4490,64
Idx-4491,77
Idx-4492,60
Idx-4493,22
Idx-4494,72
Idx-4495,59
Idx-4496,76
Idx-4497,55
Idx-4498,36
Idx-4499,78
Idx-4500,8
Idx-4501,11
Idx-4502,31
Idx-4503,52
Idx-4504,37
Idx-4505,41
Idx-4506,27
Idx-4507,26
Idx-4508,38
Idx-4509,3
Idx-4510,69
Idx-4511,33
Idx-4512,2
Idx-4513,66
Idx-4514,20
Idx-4515,14
Idx-4516,75
Idx-4517,67
Idx-4518,46
Idx-4519,51
Idx-4520,7
Idx-4521,25
Idx-4522,74
Idx-4523,42
Idx-4524,28
Idx-4525,17
Idx-4526,30
Idx-4527,61
Idx-4528,4
Idx-4529,71
Idx-4530,65
Idx-4531,13
Idx-4532,34
Idx-4533,15
Idx-4534,62
Idx-4535,47
Idx-4536,49
Idx-4537,23
Idx-4538,1
Idx-4539,43
Idx-4540,10
Idx-4541,9
Idx-4542,29
Idx-4543,5
Idx-4544,18
Idx-4545,40
Idx-4546,56
Idx-4547,58
Idx-4548,54
Idx-4549,21
Idx-4550,35
Idx-4551,19
Idx-4552,12
Idx-4553,45
Idx-4554,6
Idx-4555,68
Idx-4556,57
Idx-4557,44
Idx-4558,53
Idx-4559,24
Idx-4560,63
Idx-4561,50
Idx-4562,70
Idx-4563,39
Idx-4564,16
Idx-4565,48
Idx-4566,73
Idx-4567,32
Idx-4568,64
Idx-4569,77
Idx-4570,60
Idx-4571,22
Idx-4572,72
Idx-4573,59
Idx-4574,76
Idx-4575,55
Idx-4576,36
Idx-4577,78
Idx-4578,8
Idx-4579,11
Idx-4580,31
Idx-4581,52
Idx-4582,37
Idx-4583,41
Idx-4584,27
Idx-4585,26
Idx-4586,38
Idx-4587,3
Idx-4588,69
Idx-4589,33
Idx-4590,2
Idx-4591,66
Idx-4592,20
Idx-4593,14
Idx-4594,75
Idx-4595,67
Idx-4596,46
Idx-4597,51
Idx-4598,7
Idx-4599,25
Idx-4600,74
Idx-4601,42
Idx-4602,28
Idx-4603,17
Idx-4604,30
Idx-4605,61
Idx-4606,4
Idx-4607,71
Idx-4608,65
Idx-4609,13
Idx-4610,34
Idx-4611,15
Idx-4612,62
Idx-4613,47
Idx-4614,49
Idx-4615,23
Idx-4616,1
Idx-4617,43
Idx-4618,10
Idx-4619,9
Idx-4620,29
Idx-4621,5
Idx-4622,18
Idx-4623,40
Idx-4624,56
Idx-4625,58
Idx-4626,54
Idx-4627,21
Idx-4628,35
Idx-4629,19
Idx-4630,12
Idx-4631,45
Idx-4632,6
Idx-4633,68
Idx-4634,57
Idx-4635,44
Idx-4636,53
Idx-4637,24
Idx-4638,63
Idx-4639,50
Idx-4640,70
Idx-4641,39
Idx-4642,16
Idx-4643,48
Idx-4644,73
Idx-4645,32
Idx-4646,64
Idx-4647,77
Idx-4648,60
Idx-4649,22
Idx-4650,72
Idx-4651,59
Idx-4652,76
Idx-4653,55
Idx-4654,36
Idx-4655,78
Idx-4656,8
Idx-4657,11
Idx-4658,31
Idx-4659,52
Idx-4660,37
Idx-4661,41
Idx-4662,27
Idx-4663,26
Idx-4664,38
Idx-4665,3
Idx-4666,69
Idx-4667,33
Idx-4668,2
Idx-4669,66
Idx-4670,20
Idx-4671,14
Idx-4672,75
Idx-4673,67
Idx-4674,46
Idx-4675,51
Idx-4676,7
Idx-4677,25
Idx-4678,74
Idx-4679,42
Idx-4680,28
